epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1414.13,0.73832,6.1842,0.5078,1.058,1.22222,0.75024,0.53839,0.67979,0.31954,0.47077,0.2,0.12718,0.01436,1.82164,5.74162,0.533,1.85066,2.24735,0.000470375,0.000470375,0.000470375
65,1435.9,0.81379,6.40241,0.51054,1.1999,1.24661,0.75024,0.53839,0.67979,0.31954,0.47077,0.2,0.12718,0.01436,1.82164,5.74162,0.533,1.85066,2.24735,0.000458,0.000458,0.000458
66,1456.73,0.72766,5.91845,0.52994,1.11149,1.22941,0.70257,0.5356,0.66412,0.33482,0.44099,0.2,0.11416,0.01273,1.69769,5.75394,0.53573,1.89489,2.08906,0.000445625,0.000445625,0.000445625
67,1479.05,0.73602,6.16209,0.52564,1.02851,1.20443,0.67254,0.54265,0.75109,0.4536,0.79013,0.13333,0.09194,0.01051,1.52128,5.53455,0.55065,1.71566,1.9887,0.00043325,0.00043325,0.00043325
68,1501.5,0.67691,6.13541,0.52887,0.92781,1.0823,0.81581,0.44444,0.71974,0.48353,0.94741,0.06667,0.23059,0.0396,1.38614,5.48117,0.55244,1.73273,1.98995,0.000420875,0.000420875,0.000420875
69,1522.71,0.71294,6.17616,0.50474,1.11483,1.13299,0.81581,0.44444,0.71974,0.48353,0.94741,0.06667,0.23059,0.0396,1.38614,5.48117,0.55244,1.73273,1.98995,0.0004085,0.0004085,0.0004085
70,1543.89,0.76551,6.01431,0.56318,1.27721,1.18951,0.83953,0.44444,0.7327,0.50702,0.96996,0.06667,0.23067,0.02307,1.35743,5.46329,0.54755,1.73015,1.99247,0.000396125,0.000396125,0.000396125
71,1564.56,0.62158,5.85679,0.51713,0.95028,1.12371,0.75077,0.44444,0.72159,0.46232,0.36366,0.06667,0.20446,0.02045,1.4626,5.46408,0.54081,1.61429,2.01466,0.00038375,0.00038375,0.00038375
72,1585.46,0.68145,6.03652,0.50816,1.07358,1.12723,0.71236,0.5531,0.81778,0.48002,0.39351,0.3,0.25285,0.02528,1.66259,5.52669,0.5371,1.47654,2.14361,0.000371375,0.000371375,0.000371375
73,1606.25,0.68914,6.4435,0.52023,1.03727,1.19395,0.71236,0.5531,0.81778,0.48002,0.39351,0.3,0.25285,0.02528,1.66259,5.52669,0.5371,1.47654,2.14361,0.000359,0.000359,0.000359
74,1627.06,0.73962,6.47755,0.56848,0.99971,1.18619,0.67143,0.83333,0.84,0.47479,0.33062,0.36667,0.31055,0.03106,1.75172,5.58097,0.53901,1.46675,2.17924,0.000346625,0.000346625,0.000346625
75,1648.85,0.71268,5.50147,0.48761,1.08266,1.21926,0.66341,0.82184,0.82095,0.44086,0.28081,0.3,0.25721,0.02572,1.84299,5.51311,0.54082,1.58855,2.23176,0.00033425,0.00033425,0.00033425
76,1670.51,0.70278,5.88725,0.512,0.95842,1.15553,0.64885,0.83333,0.82095,0.43922,0.24765,0.23333,0.2305,0.0461,1.8473,5.44114,0.54457,1.57798,2.2636,0.000321875,0.000321875,0.000321875
77,1691.52,0.67063,6.53525,0.52561,1.10769,1.15472,0.64885,0.83333,0.82095,0.43922,0.24765,0.23333,0.2305,0.0461,1.8473,5.44114,0.54457,1.57798,2.2636,0.0003095,0.0003095,0.0003095
78,1713.11,0.75201,6.10283,0.51202,0.98571,1.16599,0.66301,0.72207,0.81037,0.45059,0.29059,0.23333,0.23052,0.02957,1.80049,5.38213,0.54365,1.4632,2.2947,0.000297125,0.000297125,0.000297125
79,1734.5,0.73455,5.63774,0.5366,1.13079,1.19184,0.68134,0.71964,0.815,0.46072,0.42801,0.34444,0.34226,0.03423,1.74624,5.39476,0.54295,1.37812,2.38072,0.00028475,0.00028475,0.00028475
